PassengerId,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HP_Europa,HP_Mars,D_PSO J318.5-22,D_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S,Transported
0192_03,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0193_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0193_02,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0193_03,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0195_01,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0196_01,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0197_01,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0199_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0200_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0201_01,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0201_02,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0202_01,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0203_01,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
0205_01,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0207_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0210_01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0211_01,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0211_02,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0211_03,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0212_01,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0212_02,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0213_01,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0216_01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0217_01,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0219_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0220_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0220_02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0220_03,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0220_04,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0220_05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0220_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0220_07,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0221_01,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0221_02,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0221_03,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0221_04,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
0221_05,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0221_06,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0221_07,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0222_01,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0222_02,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0222_03,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
0223_01,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0224_01,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0225_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
0229_01,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0231_01,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0232_01,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0233_01,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0234_01,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0237_01,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0239_01,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0240_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0242_01,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0243_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0244_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0245_01,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0245_02,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0246_01,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
0248_01,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0250_01,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0251_01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0252_01,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0253_01,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0254_01,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0255_01,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
0257_01,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0257_02,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0258_01,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0260_01,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0261_01,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0263_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0265_01,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
0267_01,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0269_01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0270_01,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0277_01,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0278_01,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0278_02,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0281_01,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0282_01,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0283_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
0283_02,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0285_01,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
0285_02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0286_01,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0287_01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0287_02,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0288_01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0289_01,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0290_01,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0290_02,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0290_04,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0291_01,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
0294_01,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0297_01,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0298_01,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0301_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0302_01,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0303_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0304_01,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0305_01,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0306_01,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0307_01,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0309_01,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0310_01,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0313_01,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0313_03,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0313_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0314_01,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0315_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0316_01,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0316_02,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0320_01,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0320_02,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0321_01,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0322_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0324_01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0326_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0327_01,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0330_01,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
0330_02,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
